,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
LHFPL2,8.88,11.82,17.3,12.02,14.85,7.76,23.37,6.3,3.79,37.07,14.82,12.79,16.65,12.98,14.74,10.87
LHFPL3,0.04,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.03,0.06,9.31,0.01,0.0
LHFPL4,0.04,0.01,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.06,0.05,0.0,0.03,0.03,4.99,0.07
LHFPL5,0.43,1.5,0.0,0.04,0.07,1.03,0.73,0.1,0.74,0.89,0.12,0.0,6.05,0.0,1.39,0.1
LHPP,19.81,10.25,6.6,18.57,9.02,30.33,19.81,18.96,17.37,8.08,19.32,13.59,12.78,5.0,22.89,15.29
LHX1,0.02,5.91,0.02,4.77,2.17,7.88,0.12,0.53,0.47,0.04,0.11,0.46,9.2,0.13,0.14,5.02
LHX2,2.6,0.53,0.75,2.08,1.42,4.09,0.24,2.73,3.17,10.05,2.89,0.04,4.0,0.04,9.46,1.02
LHX3,0.0,0.02,0.01,0.0,0.01,0.04,0.0,0.0,0.01,0.05,0.0,0.0,0.01,0.0,0.04,0.01
LHX4,1.18,2.01,0.83,1.45,2.34,1.22,1.41,3.32,3.39,2.61,1.05,0.96,1.74,0.54,1.4,1.55
LHX5,0.01,0.0,0.0,0.0,0.03,0.97,0.0,0.03,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.02
LHX6,2.89,9.84,3.05,0.91,5.33,2.13,0.01,9.11,1.69,1.49,0.83,1.82,8.22,0.89,9.01,2.16
LHX8,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.05,0.36,0.0,0.0,0.83,0.02,0.1,0.01,0.0
LHX9,0.12,0.06,0.0,0.0,10.02,0.12,2.87,0.07,0.01,0.06,1.4,0.0,0.0,0.01,0.32,0.08
LIAS,18.81,6.94,8.23,5.72,5.51,8.23,4.39,9.18,7.41,11.81,5.96,11.53,3.95,3.21,2.58,13.47
LIF,22.21,0.04,9.28,0.84,0.97,12.98,2.53,7.27,0.09,118.69,69.06,0.04,0.39,1.79,0.46,15.47
LIFR,4.2,6.34,0.03,0.66,9.47,0.34,9.69,2.06,0.42,4.92,1.26,1.41,5.58,6.71,5.65,9.38
LIG1,47.67,28.26,28.5,70.93,53.84,76.15,68.24,19.13,37.53,86.75,47.71,70.24,80.36,63.85,37.25,92.34
LIG3,12.32,20.58,31.64,11.37,18.98,8.88,11.36,27.41,32.88,18.11,43.25,26.62,18.51,22.58,26.68,26.19
LIG4,3.49,1.57,4.94,3.4,6.46,4.81,6.34,4.95,4.88,5.76,3.03,3.33,3.59,8.51,2.14,2.14
LILRA1,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
LILRA2,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
LILRA3,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LILRA4,0.0,0.0,0.0,0.0,0.0,0.01,0.13,0.23,0.0,0.0,0.0,0.0,0.21,0.1,0.0,0.0
LILRA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LILRA6,0.55,0.02,0.04,0.01,0.19,0.35,0.08,0.23,0.0,0.1,0.11,0.05,0.75,0.72,0.05,0.11
LILRB1,0.0,0.01,0.01,0.0,0.06,0.01,0.0,0.03,0.02,0.0,0.01,0.01,0.03,0.01,0.01,0.0
LILRB2,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LILRB3,0.5,0.06,0.16,0.11,0.12,0.46,0.06,0.27,0.35,0.57,0.11,0.09,0.63,0.52,0.0,0.21
LILRB4,0.05,0.0,0.0,0.01,0.04,0.0,0.05,0.02,0.01,0.0,0.0,0.05,0.02,0.01,0.02,0.04
LILRB5,0.0,0.0,0.01,0.01,0.0,0.03,0.0,0.0,0.01,0.04,0.0,0.0,0.01,0.0,0.0,0.02
LIM2,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMA1,81.3,4.12,25.48,5.9,29.72,68.92,40.76,7.68,32.75,44.14,73.6,79.14,37.54,25.25,3.58,122.33
LIMCH1,43.26,41.97,144.61,0.56,5.43,30.83,43.1,4.28,2.72,75.42,110.0,2.2,0.45,149.95,39.07,91.73
LIMD1,12.43,10.36,6.3,6.02,5.16,10.27,9.4,9.98,8.54,7.98,8.6,8.17,5.4,10.4,8.45,11.08
LIMD2,3.06,5.96,0.3,1.63,4.79,2.08,5.74,1.44,0.91,8.18,20.13,0.31,1.98,24.87,5.08,4.96
LIME1,10.47,14.73,4.44,13.84,16.18,15.57,6.79,10.59,7.38,14.18,7.22,33.29,18.67,6.06,7.94,3.69
LIMK1,44.49,31.86,5.36,9.93,17.67,13.63,46.99,16.3,13.26,14.66,114.48,6.22,33.81,44.6,33.42,41.22
LIMK2,23.9,38.79,68.14,10.39,52.08,27.97,46.68,29.38,99.83,45.99,31.12,137.32,63.94,48.3,103.58,107.79
LIMS1,23.53,16.03,14.76,27.67,26.19,33.58,41.97,42.99,12.84,64.05,95.28,37.16,54.85,21.58,69.89,39.83
LIMS2,3.0,0.81,0.0,0.03,0.02,0.42,0.07,0.58,0.19,5.62,18.76,0.04,0.17,4.08,0.43,0.2
LIMS3,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0
LIMS3L,0.265,0.05,0.095,0.045,0.29,0.335,0.195,0.22,0.09,0.38,0.36,0.355,0.895,0.155,0.06,0.36
LIN28A,0.08,0.02,0.05,0.02,0.01,0.06,0.01,0.01,22.75,0.01,0.05,0.04,0.03,0.04,0.0,0.09
LIN28B,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.03,0.0,0.0,0.01,0.03,0.02,0.07
LIN37,27.7,10.51,8.39,18.07,18.54,15.97,8.55,23.17,10.73,20.18,12.76,13.03,24.3,16.58,11.06,14.75
LIN52,5.77,4.04,5.28,9.94,12.05,10.33,8.8,6.83,16.62,14.51,17.84,12.4,8.07,7.45,4.99,10.73
LIN54,12.59,4.57,3.58,6.82,5.71,13.12,9.21,6.07,6.22,6.34,14.85,10.06,6.12,7.33,9.37,19.2
LIN7A,0.03,0.01,2.87,25.24,13.43,0.0,0.03,0.2,0.55,0.01,0.23,3.74,26.06,1.45,0.06,0.13
LIN7B,5.1,15.14,6.29,8.92,23.32,11.95,12.73,7.69,12.38,10.27,7.43,28.65,21.67,7.36,7.26,6.73
LIN7C,6.56,4.89,4.92,5.65,35.82,5.4,5.47,8.61,8.51,9.75,8.89,8.07,8.28,15.07,8.26,9.65
LIN9,9.53,11.99,9.89,5.15,10.96,9.0,13.42,22.83,7.86,10.59,18.58,6.92,5.64,11.42,17.32,16.22
LINC00346,0.81,1.69,0.0,0.98,0.12,4.16,5.49,1.36,0.27,5.73,4.9,0.0,0.08,0.56,0.33,1.55
LINC00632,0.06,0.13,0.05,0.74,0.41,0.0,0.0,0.62,0.52,0.86,0.75,0.04,6.75,3.14,0.12,0.0
LINC00692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00696,0.08,0.12,0.0,0.0,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00908,0.0,0.0,0.0,0.03,1.17,0.03,0.0,0.02,0.03,0.11,0.0,0.01,0.0,0.0,0.0,0.13
LINC00923,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.02,0.11,0.0,0.0,0.0
LINC00935,0.0,0.0,0.0,0.0,0.04,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
LINC00955,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINC00998,128.34,55.08,19.99,61.93,117.27,21.13,87.95,31.01,31.44,24.86,51.72,11.54,42.82,51.0,42.88,65.48
LINC00999,1.09,0.83,0.36,0.75,1.1,2.15,1.43,0.89,1.88,3.23,1.67,0.69,1.77,1.13,0.54,0.7
LINGO1,4.27,5.19,8.99,1.13,0.05,0.81,0.26,4.35,0.12,1.19,0.96,0.03,2.5,4.62,5.86,2.62
LINGO2,0.74,0.0,0.0,0.0,0.02,0.6,1.98,0.0,0.0,1.21,0.0,0.0,0.0,1.24,0.06,0.03
LINGO3,0.13,0.21,0.04,0.32,0.31,0.17,0.02,0.34,0.13,0.05,0.11,0.11,0.45,1.1,0.3,0.03
LINGO4,0.02,0.07,0.05,0.04,0.02,0.02,0.33,0.19,0.23,0.03,0.01,0.18,0.27,0.02,0.01,0.07
LINS,14.11,8.23,7.23,18.52,25.58,4.59,14.77,11.27,11.21,21.73,18.52,21.38,8.54,3.84,12.93,10.71
LIPA,50.07,14.61,12.04,28.02,11.5,76.71,81.56,13.08,37.88,56.95,29.5,3.04,25.38,14.98,36.21,73.38
LIPC,0.13,0.17,1.28,0.03,0.03,0.24,0.07,0.05,0.03,0.08,0.07,0.18,0.02,1.41,0.0,0.41
LIPE,2.3,0.49,30.39,0.38,1.93,6.98,6.09,0.39,0.76,2.96,6.96,0.56,7.03,0.43,1.06,0.56
LIPF,0.02,0.0,0.0,0.0,0.0,0.02,0.04,0.0,0.2,0.21,0.74,0.02,0.0,0.02,0.0,0.0
LIPG,0.27,1.43,2.8,0.01,0.23,3.0,21.54,3.63,0.06,22.69,5.49,0.1,0.09,310.22,0.1,39.55
LIPH,0.03,0.04,4.3,0.78,1.51,15.97,20.14,1.45,13.62,13.24,2.34,19.03,5.47,0.18,0.93,10.09
LIPI,0.0,0.01,0.0,0.0,0.06,0.0,0.03,0.02,0.01,0.18,0.11,0.01,0.0,0.02,0.06,0.0
LIPJ,0.05,0.07,0.01,0.0,0.02,0.0,0.02,0.07,0.0,0.68,0.13,0.01,0.02,0.07,0.0,0.0
LIPK,0.0,0.0,0.0,0.03,0.02,0.3,0.9,0.13,0.0,0.07,2.08,0.0,0.06,0.37,0.33,0.4
LIPM,0.0,0.0,0.0,0.0,0.05,0.06,0.0,0.0,0.17,0.04,0.07,0.11,0.05,0.15,0.26,0.02
LIPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIPT1,9.19,8.24,2.89,5.34,7.15,6.28,3.3,12.44,6.6,6.66,4.99,3.62,4.94,6.51,9.15,5.42
LIPT2,0.79,1.39,0.7,2.41,6.58,3.5,1.93,1.1,3.15,1.07,3.6,0.92,1.18,4.14,3.2,1.93
LITAF,187.03,103.3,81.94,72.59,88.6,96.46,191.31,130.68,82.17,153.36,130.33,147.76,154.59,45.96,54.99,193.95
LIX1,0.02,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.01
LIX1L,22.97,12.11,0.06,0.15,0.07,0.14,2.97,1.54,1.45,0.13,1.63,0.44,0.19,1.52,6.69,3.83
LL22NC03-63E9.3,0.05,0.0,0.0,0.0,0.09,0.0,0.06,0.0,0.06,0.05,0.14,0.0,0.03,0.14,0.08,0.0
LL22NC03-75H12.2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
LLGL1,17.02,10.53,4.71,9.29,9.95,17.74,12.87,6.89,8.21,33.31,30.27,24.32,9.8,21.58,22.88,14.04
LLGL2,13.96,51.72,404.23,326.54,231.97,72.0,81.38,75.2,116.9,105.59,164.21,142.83,161.12,48.91,13.28,93.22
LLPH,35.82,27.04,29.56,65.21,73.85,36.53,28.42,51.26,48.54,310.24,49.4,32.15,69.92,25.84,44.46,53.3
LMAN1,29.04,53.69,37.89,27.97,177.91,23.51,64.16,41.67,34.21,72.91,79.03,30.0,19.55,38.7,152.06,36.42
LMAN1L,0.12,0.09,0.02,0.07,0.0,0.1,0.11,5.08,0.31,0.08,0.07,0.14,0.36,0.12,0.01,0.09
LMAN2,205.54,109.06,199.58,379.76,314.58,226.82,142.14,120.71,152.95,265.61,182.75,89.85,115.7,81.8,248.54,432.97
LMAN2L,28.51,11.64,5.03,13.76,34.81,35.01,15.79,17.79,15.79,44.68,26.85,18.0,41.39,11.31,64.01,27.78
LMBR1,43.6,22.45,17.01,27.57,46.15,34.76,22.23,32.39,13.21,17.13,30.67,22.28,29.34,13.56,40.51,28.59
LMBR1L,10.25,12.35,9.03,16.36,20.0,6.94,7.61,28.97,15.33,23.16,16.2,6.43,14.08,22.13,9.6,20.37
LMBRD1,27.64,16.32,18.78,19.4,16.52,14.38,17.13,9.55,13.36,28.32,26.92,11.07,8.78,18.9,12.47,19.9
LMBRD2,5.08,2.68,4.79,4.22,11.26,14.07,14.44,3.97,7.18,5.0,4.77,5.65,4.35,4.36,1.44,11.34
LMCD1,57.8,12.82,77.95,33.51,13.86,11.58,10.47,9.27,37.11,28.29,30.98,27.2,78.67,0.8,31.58,6.08
LMF1,6.69,16.16,13.94,20.1,15.02,13.4,3.32,3.88,11.23,6.63,8.78,13.66,10.44,3.38,41.74,4.43
LMF2,144.53,23.06,24.05,19.5,41.75,57.47,50.62,47.18,35.28,122.07,39.21,34.94,32.27,51.6,66.34,28.92
LMLN,1.2,3.85,2.02,3.44,13.15,6.16,7.47,0.93,11.45,5.79,2.81,2.69,5.55,1.68,2.18,7.51
LMNA,715.16,300.2,170.43,125.75,100.69,639.17,517.25,299.0,328.89,248.62,326.17,274.75,374.41,418.09,554.25,516.97
LMNB1,88.48,109.34,49.17,122.91,64.59,152.83,114.27,55.04,83.14,169.84,140.13,62.1,96.8,107.71,105.99,177.77
LMNB2,73.76,51.93,38.65,36.61,44.48,77.5,56.28,60.48,53.65,105.51,141.25,75.96,84.67,89.56,158.16,83.6
LMO1,0.45,1.95,0.05,0.37,0.35,0.21,0.3,1.1,0.0,0.4,1.7,0.0,1.69,0.15,0.25,0.5
LMO2,0.29,31.95,0.08,0.29,0.07,1.81,0.27,1.71,0.46,0.2,0.06,0.01,0.22,10.56,0.24,3.17
LMO3,0.41,0.65,0.19,0.11,9.86,0.43,0.39,0.22,0.42,0.45,1.02,1.0,2.71,0.84,0.72,0.25
LMO4,181.46,19.64,35.33,8.92,75.57,39.58,72.95,135.53,260.41,40.92,227.89,53.08,71.53,40.15,26.92,37.05
LMO7,34.97,2.72,79.67,4.76,30.32,129.3,67.19,7.55,27.53,15.34,39.41,50.14,19.79,11.72,16.37,79.0
LMOD1,0.1,0.19,0.02,0.02,0.14,0.53,0.05,0.08,0.93,0.25,0.46,0.26,0.34,0.51,0.16,0.06
LMOD2,0.03,0.02,0.01,0.0,0.01,0.0,0.0,0.06,0.0,0.02,0.0,0.1,0.02,0.01,0.52,0.01
LMOD3,0.01,0.01,0.01,0.05,0.06,0.02,0.03,0.03,0.04,0.02,0.04,0.1,0.01,0.02,0.01,0.01
LMTK2,11.14,3.23,5.88,8.02,6.03,5.18,9.68,5.57,3.77,9.08,20.96,4.76,6.46,15.96,6.55,9.61
LMTK3,2.5,0.99,3.17,3.56,2.93,1.72,1.58,1.26,2.4,4.15,2.4,2.47,3.25,1.34,1.01,4.03
LMX1A,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01
LMX1B,1.77,0.01,6.42,13.62,24.63,2.83,0.89,8.76,7.07,4.0,6.1,21.78,24.96,5.34,1.38,2.02
LNP1,2.75,2.38,1.69,2.0,2.9,2.43,4.47,0.99,0.62,4.8,1.1,4.31,0.44,0.92,7.24,3.66
LNPEP,6.4,4.11,6.91,4.94,15.61,5.93,8.01,3.14,12.44,8.08,6.14,4.82,7.42,5.23,5.49,10.15
LNX1,0.54,1.83,4.52,3.65,7.22,3.2,6.27,0.88,3.69,0.99,4.8,15.44,2.89,5.15,3.15,5.76
LNX2,3.85,6.67,2.96,8.97,7.19,6.52,9.0,6.38,5.71,11.95,12.32,10.31,11.8,5.26,3.05,7.93
LOH12CR1,9.92,4.13,2.3,4.47,8.42,8.25,6.18,1.63,2.92,3.39,4.88,5.72,7.4,8.98,5.55,4.24
LOH12CR2,2.96,0.56,0.08,0.31,2.93,1.44,1.28,0.16,0.28,0.23,1.43,0.57,1.01,0.7,0.84,0.17
LONP1,62.33,79.07,72.74,66.94,67.84,75.25,31.64,55.82,45.49,42.96,58.89,96.34,76.32,46.34,64.05,39.6
LONP2,22.73,26.23,17.24,17.18,46.79,38.21,42.5,14.94,14.86,17.01,28.91,39.06,40.21,16.04,14.48,47.79
LONRF1,7.96,15.92,2.31,5.4,3.03,2.52,1.15,5.78,2.01,2.99,10.41,13.81,7.87,16.71,11.99,3.53
LONRF2,0.04,0.16,0.08,18.68,4.84,0.16,0.01,3.15,2.69,0.37,0.24,5.06,20.4,0.79,0.08,0.07
LONRF3,0.17,4.08,2.5,0.0,0.0,2.21,8.08,3.26,0.01,5.94,5.08,0.11,0.01,0.39,0.02,10.45
LOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.08,0.0,0.0
LOX,8.95,8.48,0.21,0.16,0.61,0.67,4.47,0.56,0.14,28.03,7.86,0.09,0.21,8.98,57.51,0.66
LOXHD1,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
LOXL1,43.63,3.64,1.24,6.49,1.55,2.67,1.47,1.19,0.81,14.11,28.64,1.0,1.78,165.82,5.82,0.31
LOXL2,178.63,3.34,0.3,2.7,0.4,26.19,14.35,0.88,0.52,35.09,18.63,0.6,1.19,77.91,53.66,19.2
LOXL3,3.0,2.46,1.73,2.56,5.06,1.38,1.03,8.21,1.56,5.31,6.16,0.05,2.86,0.56,1.84,1.28
LOXL4,0.11,0.07,0.02,0.07,0.24,0.81,0.16,0.13,0.07,0.07,0.13,0.32,0.17,0.16,1.17,0.02
LPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
LPAR1,2.43,0.09,0.09,0.0,7.93,9.47,0.13,0.1,8.72,4.33,3.47,0.03,0.08,3.6,0.04,9.06
LPAR2,18.77,28.51,19.36,32.88,29.3,36.08,46.33,16.53,18.99,50.28,28.42,22.47,45.6,71.74,22.45,27.14
LPAR3,1.85,10.06,0.1,0.02,0.33,0.06,3.68,2.63,0.01,5.71,1.58,4.74,1.12,0.18,6.57,8.76
LPAR4,0.16,0.0,0.01,0.06,0.02,0.0,0.0,0.01,0.05,0.01,0.01,0.0,0.62,0.0,0.0,0.0
LPAR5,0.17,0.0,0.12,0.12,0.05,9.27,3.97,0.04,0.03,5.18,0.55,0.15,2.24,0.08,0.1,0.12
LPAR6,0.07,0.0,2.01,1.88,10.93,0.83,5.87,0.26,1.2,0.07,4.73,2.31,1.14,0.04,0.17,0.99
LPCAT1,85.64,76.67,43.48,80.91,15.73,35.44,55.88,19.28,33.04,110.16,23.59,34.8,31.79,20.23,38.98,245.07
LPCAT2,6.27,1.1,11.51,1.74,10.64,22.44,26.71,2.29,1.16,13.7,23.1,0.57,5.2,1.82,4.1,25.89
LPCAT3,44.63,16.8,30.98,17.67,49.69,74.65,46.18,14.67,11.09,28.06,13.44,69.22,35.45,55.41,40.68,84.69
LPCAT4,30.17,51.18,26.3,13.16,9.46,20.53,70.67,31.25,17.86,40.91,24.42,6.52,11.6,20.58,33.62,23.6
LPGAT1,14.89,20.68,22.44,10.21,21.48,13.95,31.28,16.58,9.87,23.61,49.59,11.33,12.02,35.85,18.68,31.66
LPHN1,33.6,32.99,26.6,17.15,23.91,60.02,22.03,27.16,18.73,32.25,12.74,23.87,12.78,1.0,56.7,20.15
LPHN2,16.79,1.85,0.13,0.51,29.34,3.7,41.22,7.91,0.31,14.41,7.74,2.77,7.62,69.93,0.08,2.55
LPHN3,0.08,0.01,0.0,0.03,1.01,0.0,0.02,0.04,0.19,0.04,0.67,0.0,0.17,3.68,0.02,0.4
LPIN1,14.09,81.19,1.63,9.34,5.92,9.85,14.58,54.36,3.62,5.76,19.77,8.36,12.58,6.7,25.48,16.54
LPIN2,7.14,5.66,3.07,3.99,6.14,4.07,3.84,1.73,0.02,12.05,8.49,21.14,6.59,10.34,12.76,12.33
LPIN3,11.47,21.22,5.69,22.23,15.83,13.41,10.35,15.61,19.13,12.73,15.93,4.84,9.89,5.37,59.89,5.96
LPL,0.06,53.11,6.06,0.0,0.09,0.05,0.02,8.43,0.0,0.03,0.06,0.01,0.0,19.79,0.01,0.19
LPO,0.22,0.28,0.0,0.0,0.05,0.02,5.88,0.59,0.01,0.49,0.06,0.11,0.08,0.32,0.1,0.0
LPP,11.49,7.04,6.4,7.12,11.27,10.85,18.33,10.49,3.86,17.57,22.08,5.98,6.41,9.91,5.66,14.84
LPPR1,0.0,1.93,0.73,0.0,0.0,0.0,0.0,0.16,0.04,0.0,0.0,0.01,0.02,1.23,0.01,0.0
LPPR3,0.77,0.13,0.08,1.16,0.75,0.09,0.03,17.24,2.27,4.89,9.57,0.04,0.16,2.23,5.58,0.0
LPPR4,0.09,0.01,0.7,0.0,0.0,0.0,0.1,0.01,0.0,0.05,5.07,0.0,0.01,0.04,0.02,0.03
LPPR5,0.0,0.0,0.0,1.11,0.07,0.01,0.44,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.02
LPXN,12.82,1.74,0.61,1.04,4.39,7.55,13.84,0.97,2.62,3.18,3.06,0.64,3.16,2.66,1.86,4.16
LRAT,16.18,1.29,0.15,0.03,0.01,1.6,3.86,0.8,0.01,13.01,2.94,0.02,0.1,0.55,2.5,0.48
LRBA,10.33,22.85,34.83,34.91,29.56,74.42,24.75,11.01,41.48,14.97,67.58,97.97,32.77,28.7,14.86,31.19
LRCH1,12.23,2.32,1.73,8.17,3.65,2.78,6.75,3.88,3.05,2.76,13.71,4.04,3.85,6.5,3.21,7.9
LRCH2,0.08,0.0,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.02,1.69,0.0,0.01,0.36,0.01,0.04
LRCH3,17.53,13.64,6.41,16.35,36.59,35.01,26.16,12.77,25.61,39.4,31.01,16.1,24.61,15.42,15.57,31.06
LRCH4,59.7,38.03,28.85,56.24,48.73,34.95,44.44,42.99,34.04,18.03,37.04,31.9,28.58,66.07,41.64,27.3
LRFN1,1.94,4.2,1.76,1.0,1.04,4.18,0.63,5.31,1.35,1.41,1.49,0.63,1.74,6.45,4.5,2.77
LRFN2,0.0,0.0,0.34,0.27,0.54,0.0,0.0,0.0,0.05,0.0,0.0,0.93,0.22,0.02,0.0,0.0
LRFN3,7.26,5.79,8.12,5.23,5.86,9.25,6.97,14.09,4.93,10.0,13.49,5.53,8.32,19.42,10.48,5.54
LRFN4,55.69,55.1,26.04,27.99,29.66,17.73,16.84,28.11,26.7,27.59,64.01,2.22,27.37,68.12,57.19,10.2
LRFN5,0.0,0.0,0.0,0.16,0.25,0.0,0.01,0.01,0.01,0.03,0.02,0.0,0.0,0.94,0.0,0.03
LRG1,0.16,5.66,0.04,1.24,0.23,7.11,1.01,0.03,0.54,6.16,0.04,0.08,0.03,7.9,0.08,21.36
LRGUK,0.02,0.53,0.07,0.09,1.23,0.19,0.15,0.07,0.1,0.34,1.06,0.19,0.16,0.9,0.09,0.07
LRIF1,14.69,14.53,4.43,12.28,21.82,27.62,31.0,11.97,15.16,9.9,32.24,9.46,20.67,11.48,19.07,22.89
LRIG1,4.35,5.64,16.69,10.39,21.81,7.56,8.62,5.82,40.4,3.5,6.31,49.01,52.91,9.36,8.49,27.03
LRIG2,4.98,4.53,2.46,3.25,3.83,9.74,7.12,6.28,2.19,7.38,5.1,3.87,5.53,2.4,3.85,4.89
LRIG3,8.41,4.74,2.77,0.84,5.83,3.91,3.69,10.93,10.23,47.73,15.96,4.17,3.88,4.89,12.35,10.11
LRIT1,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRIT2,0.0,0.04,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
LRIT3,0.25,0.42,0.22,0.02,0.25,0.13,0.02,0.16,0.07,0.19,0.33,0.57,0.08,0.17,0.66,0.23
LRLE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.77,0.0,0.0,0.0
LRMP,0.26,0.08,0.05,0.05,0.38,0.03,0.41,0.19,0.17,0.04,0.13,0.11,0.23,0.31,0.12,0.24
LRP1,28.04,2.67,1.87,2.57,7.31,5.75,6.96,0.23,4.46,21.12,9.75,0.51,1.62,28.3,30.89,1.74
LRP10,80.09,20.46,56.16,67.28,50.72,53.3,98.41,9.94,46.2,52.9,45.97,45.84,28.41,39.23,20.38,71.11
LRP11,25.93,11.41,31.03,11.55,22.09,14.15,28.85,21.31,24.58,44.19,8.54,30.39,15.13,24.6,13.52,25.96
LRP12,28.54,8.27,2.97,1.87,0.09,1.93,1.35,20.6,2.39,39.85,39.33,1.05,3.91,13.13,46.98,10.51
LRP1B,0.03,0.02,0.0,0.01,1.65,0.0,1.94,0.02,0.01,0.02,0.2,0.46,0.02,0.29,0.04,0.02
LRP2,0.01,22.14,0.04,0.77,14.33,0.0,4.39,0.2,0.07,0.0,0.02,1.6,0.59,0.1,0.09,0.2
LRP2BP,0.11,1.04,0.15,0.18,0.46,0.3,1.17,0.56,0.47,0.3,0.43,1.23,0.17,0.32,0.67,0.22
LRP3,11.91,19.43,21.83,10.3,31.53,6.79,0.26,83.98,11.73,7.47,24.12,34.12,24.61,59.2,22.86,18.4
LRP4,0.98,0.1,0.23,0.23,0.21,0.24,2.07,7.17,1.5,4.07,3.48,1.11,0.52,0.25,11.85,0.17
LRP5,44.62,43.72,29.04,23.58,27.24,43.69,28.63,21.48,27.63,32.08,53.43,37.11,32.11,49.78,73.66,26.24
LRP5L,11.59,7.09,5.25,2.04,25.9,6.48,1.25,13.2,2.64,13.16,4.94,2.99,2.21,6.22,14.9,12.08
LRP6,13.6,6.37,10.16,5.25,12.76,14.94,13.47,10.24,4.59,8.12,28.07,8.69,11.28,38.76,27.01,4.39
LRP8,30.72,34.7,18.63,22.96,22.58,14.15,46.29,32.82,7.87,22.61,10.24,11.56,26.48,87.16,54.33,44.46
LRPAP1,31.71,64.76,59.21,209.21,85.87,87.26,64.16,26.06,95.56,60.95,104.29,104.36,64.91,56.31,174.4,121.98
LRPPRC,34.33,73.9,52.87,47.58,37.76,21.96,43.68,85.36,39.2,62.68,66.49,33.56,61.94,48.38,60.12,44.93
LRR1,51.19,21.34,17.7,34.73,45.84,38.24,31.59,28.46,36.35,22.94,83.41,17.38,49.66,19.68,20.71,34.01
LRRC1,4.67,4.39,14.66,18.1,25.27,15.05,27.14,20.27,14.37,7.7,8.63,22.47,39.95,15.02,9.69,37.46
LRRC10,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRRC10B,0.09,0.12,3.42,2.39,2.53,0.69,1.95,5.54,0.01,1.06,0.63,0.08,7.79,0.23,0.03,0.17
