,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
CPXM1,0.04,0.13,0.02,0.07,0.01,0.01,0.12,0.04,0.04,0.13,0.03,0.02
CPXM2,0.04,0.02,0.73,0.27,0.0,0.0,0.24,0.03,0.18,0.03,0.0,0.01
CPZ,0.09,0.26,0.02,0.37,2.06,0.64,0.01,0.14,6.6,1.08,0.0,0.02
CR1,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
CR1L,0.0,0.01,0.0,0.04,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
CR2,0.0,0.02,0.0,0.77,0.01,0.0,0.01,0.01,0.0,0.03,0.05,0.0
CR769776.1,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.01,0.0,0.0
CRABP1,0.0,0.96,0.0,0.0,0.0,0.0,0.14,0.02,0.08,0.03,0.0,0.03
CRABP2,22.11,13.19,10.34,3.98,5.85,2.72,114.38,4.39,479.41,2.06,1.47,2.0
CRADD,3.59,11.84,7.67,5.21,16.04,13.4,7.15,7.7,8.52,10.86,8.16,20.03
CRAMP1L,12.75,9.27,7.79,6.88,10.81,7.56,12.98,13.87,15.08,7.9,5.82,9.45
CRAT,18.57,12.92,2.66,4.33,15.26,45.79,40.06,1.37,8.45,14.31,25.18,7.78
CRB1,0.02,0.0,0.02,0.02,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.01
CRB2,0.23,0.72,0.8,0.57,0.03,0.01,0.94,0.28,0.3,1.58,1.97,0.05
CRB3,25.44,20.55,41.78,29.07,0.09,0.19,47.69,53.92,35.1,48.36,51.92,60.87
CRBN,29.05,21.58,27.15,9.3,27.8,9.5,26.86,10.87,13.42,22.09,22.53,34.8
CRCP,66.27,56.56,23.92,15.44,24.34,69.83,33.59,42.04,26.63,32.13,38.33,20.94
CRCT1,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.05,0.26,0.0,0.0,0.0
CREB1,17.37,17.57,11.3,8.83,12.66,23.32,17.91,21.95,29.72,11.9,17.54,20.94
CREB3,28.5,26.31,19.54,17.56,33.99,73.41,41.37,21.52,45.11,20.45,22.03,27.34
CREB3L1,0.34,0.07,5.97,10.66,0.02,28.59,0.31,0.13,8.46,0.08,0.4,23.1
CREB3L2,51.05,3.29,5.83,7.0,6.45,28.76,15.12,5.13,9.17,10.91,9.79,5.03
CREB3L3,0.0,0.4,0.12,0.14,0.0,0.01,0.24,0.77,0.22,2.24,0.03,0.04
CREB3L4,12.4,12.7,13.68,7.34,4.47,9.55,16.01,15.63,25.08,15.88,13.7,14.97
CREB5,20.83,0.07,9.44,2.16,4.79,3.7,0.15,1.32,0.93,1.67,2.69,13.52
CREBBP,21.09,13.87,9.06,9.87,8.35,11.16,20.1,17.56,28.04,9.54,7.52,19.79
CREBL2,8.46,16.1,9.93,7.11,9.48,10.44,11.25,16.31,13.53,17.44,20.6,9.62
CREBRF,1.96,0.85,2.32,4.64,2.09,1.09,4.61,2.12,4.06,2.73,2.55,3.04
CREBZF,44.49,58.2,44.92,41.77,46.61,19.27,45.99,49.42,91.82,36.0,57.45,35.56
CREG1,71.83,81.41,32.17,24.4,19.31,8.13,34.02,50.2,69.46,67.93,49.16,32.07
