,T24,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
ABCA5,7.52,16.44,13.6,6.07,4.19,24.74,1.29,1.01,3.09,0.34,0.03,0.03,3.32,7.44,4.29,4.91,4.25,4.0,0.76,5.03,0.43,3.36,0.31,4.17,5.87
ABCA6,0.34,0.31,0.21,0.06,0.04,4.95,0.08,5.39,0.0,0.02,0.25,0.0,0.04,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.01,0.04,0.0,0.0,0.04
ABCA7,6.7,45.98,62.94,7.18,9.39,36.74,35.12,20.91,11.13,69.04,25.37,2.32,20.1,8.78,6.78,2.75,9.18,6.23,1.81,10.6,8.06,12.93,5.58,5.35,6.33
ABCA8,0.0,0.01,0.13,0.08,0.03,0.15,0.0,0.0,0.06,12.8,0.0,0.01,0.06,0.02,0.01,0.04,0.02,0.08,0.07,0.0,0.0,0.14,0.01,0.0,0.01
ABCA9,0.14,0.17,0.22,0.02,0.0,0.06,0.0,0.07,0.0,0.01,0.0,0.02,0.01,0.16,0.02,0.0,0.02,0.01,0.02,0.0,0.0,0.03,0.0,0.01,0.09
ABCB1,11.29,59.92,0.24,0.25,6.89,7.59,0.05,0.05,9.56,23.58,0.04,0.03,1.81,0.41,4.14,86.08,39.73,0.09,0.87,3.15,29.06,55.27,33.27,149.5,0.02
ABCB10,11.2,3.46,5.37,11.23,7.89,5.15,5.78,7.89,9.74,31.84,11.26,44.3,29.59,16.08,10.8,12.34,6.04,7.01,7.35,9.08,10.26,16.27,12.22,16.38,6.46
ABCB11,0.05,0.01,0.28,0.0,0.01,0.0,0.0,0.0,0.0,0.52,0.0,0.21,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.02,0.12
ABCB4,0.22,0.54,0.01,0.05,1.97,9.57,0.0,0.0,0.02,0.04,0.05,0.01,1.42,0.03,0.07,0.79,0.08,0.0,5.24,0.31,0.12,0.13,0.08,1.17,0.0
ABCB5,0.0,0.71,0.0,4.16,0.02,0.0,0.0,0.0,0.02,0.06,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0
ABCB6,12.62,230.0,41.65,46.25,32.9,17.73,23.65,3.7,27.83,34.52,2.27,3.04,8.07,23.17,8.61,12.69,11.45,14.91,18.89,3.12,19.4,19.87,3.7,27.81,12.86
ABCB7,16.6,17.19,19.27,22.03,10.91,25.52,22.25,24.2,14.64,28.35,28.77,20.76,31.94,11.02,32.28,14.05,12.52,12.56,6.73,15.09,38.07,23.59,14.14,11.94,18.65
ABCB8,19.96,33.74,23.67,31.55,28.85,21.37,31.39,24.44,32.96,15.25,23.19,23.87,17.52,20.13,21.83,25.06,24.67,15.29,55.7,40.11,13.88,20.29,14.7,28.01,17.88
ABCB9,7.07,5.87,15.23,10.07,9.98,0.38,2.12,0.56,5.85,5.28,0.3,0.86,1.71,6.42,2.21,7.64,2.8,7.17,19.5,7.87,5.1,6.61,0.86,4.65,2.63
ABCC1,31.85,33.91,25.12,35.72,34.62,24.73,16.82,32.02,38.33,42.35,16.27,18.68,15.08,29.89,18.07,15.46,20.81,10.79,17.5,46.45,25.02,39.13,18.11,10.55,14.65
ABCC10,10.22,11.41,34.23,10.1,14.37,28.26,13.82,15.45,11.8,9.53,13.94,16.73,11.83,12.92,11.3,10.45,11.54,13.34,10.97,12.83,18.97,21.92,10.83,11.13,13.16
ABCC11,0.11,0.06,0.11,0.12,0.14,0.07,0.07,0.04,0.11,0.2,0.04,0.09,0.07,0.01,0.2,0.04,0.07,0.07,0.07,0.06,0.17,0.4,0.19,0.07,0.19
ABCC12,0.0,0.0,0.01,0.05,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.01,0.0,0.0
ABCC2,0.22,49.94,1.16,0.76,2.83,0.14,0.12,0.13,0.4,0.52,0.06,0.69,1.11,0.48,8.84,11.57,10.61,0.63,0.29,0.5,36.22,0.47,6.16,0.15,4.13
ABCC3,1.68,247.18,4.8,20.86,46.98,1.06,0.12,0.14,34.5,0.41,0.07,0.27,0.09,49.86,10.88,39.61,100.1,0.1,2.47,36.34,86.09,75.04,44.91,72.05,39.48
ABCC4,11.11,5.76,8.89,13.77,22.73,10.85,3.5,6.7,9.64,140.54,2.55,3.62,2.68,12.01,11.56,6.75,7.12,6.21,23.51,4.48,7.78,9.94,4.3,14.03,7.92
ABCC5,20.88,14.4,23.11,15.46,13.87,5.63,19.82,11.77,7.95,22.22,8.23,11.42,15.34,34.96,14.21,13.03,15.38,18.04,7.69,22.52,13.31,22.26,5.28,12.96,18.84
ABCC6,0.26,2.72,0.25,0.65,0.11,0.24,0.06,0.14,0.81,0.1,0.02,2.0,0.05,1.93,1.27,3.53,12.2,0.8,0.26,4.63,5.27,5.73,16.19,9.71,0.46
ABCC8,0.01,13.77,0.19,0.64,0.09,0.39,0.0,0.0,0.03,0.13,0.04,0.0,0.08,0.0,0.35,0.23,0.39,0.0,0.0,0.28,0.13,0.09,0.03,0.4,0.0
ABCC9,0.42,0.01,0.06,0.04,0.04,3.08,0.0,0.0,0.26,0.0,0.01,0.01,0.0,0.08,0.06,0.05,0.65,0.0,3.92,0.69,0.59,5.17,0.07,0.01,0.03
ABCD1,9.93,1.88,4.61,28.57,12.77,9.18,2.18,1.52,13.4,10.62,3.96,3.33,6.57,0.96,20.83,0.58,3.45,7.55,4.11,9.31,3.29,37.24,2.14,2.24,0.51
ABCD2,0.03,0.05,0.03,0.07,0.0,3.54,0.0,2.73,0.01,0.0,0.0,0.01,2.66,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0
ABCD3,32.82,49.6,67.77,46.44,41.82,13.66,32.23,20.31,40.85,11.56,24.97,18.82,25.98,22.06,41.66,40.42,17.6,19.81,14.45,19.31,37.37,27.53,51.38,34.09,28.54
ABCD4,31.36,20.4,69.57,23.99,16.02,23.95,30.55,23.81,21.3,34.89,19.37,34.45,38.55,37.15,40.29,20.57,20.71,50.59,14.39,20.6,20.49,53.78,11.03,17.65,35.84
ABCE1,65.3,21.43,33.23,43.27,70.5,45.75,101.33,61.1,62.98,63.53,83.65,68.84,72.28,100.3,60.99,42.67,33.56,50.72,29.74,36.25,36.51,76.41,36.6,42.13,57.48
ABCF1,64.4,39.3,48.29,90.79,94.15,68.66,94.48,81.41,85.62,89.17,87.98,113.05,117.08,29.68,89.29,35.12,21.82,27.77,61.73,63.91,64.71,74.65,25.58,49.17,15.5
ABCF2,51.03,22.78,25.71,55.77,73.0,37.73,63.19,42.12,43.29,31.05,71.52,99.75,64.34,133.16,62.85,39.88,29.99,60.93,97.44,81.92,25.14,47.62,27.58,28.32,26.04
ABCF3,51.22,28.19,49.7,38.43,46.17,40.19,43.98,38.41,42.65,27.82,28.55,41.23,45.69,45.76,28.47,39.72,43.0,39.55,35.19,50.8,54.61,49.36,25.54,32.26,38.28
ABCG1,0.65,7.34,20.03,1.07,1.33,19.59,0.0,0.6,0.26,0.06,0.06,0.02,4.49,0.6,1.1,0.46,1.57,0.01,0.05,5.25,0.08,1.47,2.47,0.35,0.02
ABCG2,1.48,0.98,4.58,0.76,10.26,0.0,0.01,0.09,0.61,0.08,0.0,0.22,1.3,2.98,0.1,3.01,4.58,0.4,2.06,0.08,0.28,15.41,0.11,10.16,14.23
ABCG4,0.13,0.04,0.02,0.52,0.59,0.06,0.03,0.0,0.08,0.0,0.02,0.01,0.01,0.61,0.02,0.0,0.0,0.59,0.25,0.02,0.0,0.11,0.01,0.01,0.01
ABCG5,0.01,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.03,0.0,0.05,0.03,0.0,0.04,0.01,0.0,0.0,0.02,0.04
ABCG8,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.02,0.0
ABHD1,0.25,2.58,0.05,0.49,0.43,0.2,0.29,0.14,0.32,0.24,0.06,0.29,0.35,0.39,2.28,0.72,0.0,0.15,0.02,0.69,0.24,3.39,0.62,0.45,0.28
ABHD10,33.57,15.09,19.31,24.38,33.9,17.12,16.57,17.89,25.21,14.16,15.43,19.53,42.02,34.75,24.42,25.22,16.79,27.3,21.53,23.59,20.59,30.49,19.03,29.82,30.76
ABHD11,19.33,32.63,19.64,25.41,36.37,8.1,16.07,21.68,22.32,11.29,19.92,18.42,9.8,26.9,30.93,66.67,66.22,23.47,41.16,129.74,109.76,80.37,68.3,115.06,51.14
ABHD12,79.7,68.38,75.19,84.88,61.32,20.24,14.64,7.68,43.44,13.14,17.15,16.32,32.13,52.47,30.43,50.26,23.37,36.92,186.79,87.4,56.1,30.19,38.95,91.81,36.65
ABHD12B,0.33,0.08,0.98,0.29,0.24,0.15,0.0,38.42,0.13,0.03,0.08,0.82,6.61,0.53,75.57,0.73,25.65,0.11,0.06,1.87,0.11,0.04,0.25,0.26,38.77
ABHD13,6.46,5.58,7.95,9.39,6.13,5.48,4.81,4.03,2.77,5.65,1.71,4.41,8.86,5.06,6.18,16.54,4.35,8.26,4.34,5.91,4.41,4.87,5.07,9.65,5.43
ABHD14A,5.84,8.28,8.8,20.0,8.94,6.12,13.08,4.59,11.28,25.54,15.38,12.47,6.11,10.86,14.05,2.7,4.96,8.35,16.1,7.1,9.96,6.9,8.31,6.82,12.41
ABHD14A-ACY1,0.41,0.83,0.78,0.47,0.18,0.27,0.81,0.33,0.58,0.65,1.15,1.33,0.47,0.75,0.99,4.6,1.5,0.82,0.38,0.56,1.35,2.05,2.06,1.04,3.62
ABHD14B,22.26,36.09,24.4,26.88,21.71,41.31,61.08,9.88,19.04,110.59,78.67,19.62,23.4,115.85,49.44,88.73,29.9,15.25,27.06,36.82,38.15,31.75,36.31,46.78,26.4
ABHD15,9.01,10.63,5.42,4.47,9.93,2.97,9.01,2.21,6.22,3.68,3.05,5.87,35.42,8.68,3.47,4.38,5.51,4.02,8.41,1.53,3.45,5.57,5.27,8.26,1.47
ABHD16A,19.9,46.68,41.4,33.37,37.3,29.93,31.8,19.69,26.48,56.94,18.46,40.59,29.17,48.82,30.97,36.57,20.58,23.89,20.48,40.6,30.58,34.35,19.06,46.58,14.27
ABHD16B,8.35,4.64,10.92,3.51,1.61,3.03,9.63,3.86,5.01,4.01,5.2,2.89,2.51,3.95,5.92,2.15,5.83,10.1,6.17,11.23,5.32,10.82,2.22,4.84,3.07
ABHD17A,33.31,26.75,18.96,40.12,41.69,41.29,44.47,38.84,28.58,49.9,23.59,21.13,26.71,15.67,29.16,30.53,11.46,36.58,44.39,27.84,33.86,16.55,20.62,24.59,31.7
ABHD17B,11.68,5.33,9.71,19.05,9.86,8.77,17.15,20.88,8.83,7.08,17.45,8.84,18.38,12.08,12.56,12.65,2.42,9.19,6.63,13.97,7.84,15.44,12.83,19.86,9.84
ABHD17C,8.85,8.34,22.37,6.5,5.92,2.53,2.04,7.12,13.62,0.33,0.24,0.33,9.25,21.53,28.11,34.27,35.57,5.97,8.05,23.5,41.78,16.7,60.71,52.47,40.51
ABHD2,39.82,171.46,16.48,31.84,38.2,9.63,17.51,5.66,34.29,187.83,7.15,9.36,8.0,15.37,75.24,47.19,49.33,3.55,57.44,135.8,29.94,32.26,35.84,33.99,11.97
ABHD3,10.59,33.85,41.38,16.62,51.19,17.7,122.05,55.79,14.33,7.09,51.84,15.16,31.28,8.51,10.98,30.41,8.66,14.72,4.54,12.43,34.71,16.52,15.16,12.62,28.01
ABHD4,11.42,21.03,17.05,51.46,11.81,25.15,5.23,10.28,73.77,10.64,5.88,0.64,2.23,17.58,4.58,10.5,7.52,2.42,16.7,6.06,7.55,22.88,7.32,7.3,6.31
ABHD5,18.69,3.62,7.96,20.1,23.88,6.74,5.99,1.87,36.11,17.9,2.22,4.79,5.71,14.53,6.25,8.22,6.27,20.2,14.75,16.52,14.83,7.13,8.15,5.03,10.96
ABHD6,4.91,2.38,3.41,8.59,6.5,8.54,5.34,2.99,6.82,1.27,2.24,0.15,0.99,8.26,4.62,5.08,2.48,5.26,6.42,11.64,10.55,3.71,18.28,7.13,7.61
ABHD8,8.26,7.0,5.89,12.25,5.51,5.11,19.03,2.0,17.56,6.62,11.11,0.56,0.85,2.16,4.09,0.56,0.55,1.87,2.44,0.67,0.56,2.59,0.66,2.11,0.65
ABI1,27.71,19.41,31.03,36.79,15.24,33.38,20.79,52.38,18.13,28.22,31.44,13.99,24.26,25.14,17.44,23.61,12.12,15.91,22.66,33.32,26.93,34.79,26.42,23.5,26.21
ABI2,40.32,17.81,18.93,38.48,45.51,27.79,23.39,9.18,59.55,16.05,3.92,14.7,14.61,37.43,26.05,12.72,14.34,18.27,49.31,29.9,14.86,40.28,14.05,28.74,18.74
ABI3,0.06,0.04,0.0,0.0,0.0,37.06,56.19,7.86,0.0,0.12,35.08,1.45,0.77,0.08,0.0,0.15,0.0,0.0,1.61,0.04,0.0,0.07,0.03,0.07,0.0
ABI3BP,6.36,0.24,0.95,60.22,1.82,0.16,0.59,0.08,0.77,0.05,0.09,0.19,0.22,0.33,0.03,0.56,0.34,0.08,1.09,0.32,0.07,0.65,0.06,0.1,0.09
ABL1,40.2,31.01,20.37,80.09,26.75,8.9,45.61,14.61,47.1,13.96,18.01,17.98,31.29,27.04,20.7,16.13,22.08,28.77,49.58,22.91,22.23,24.02,18.29,23.35,9.57
ABL2,26.21,8.84,8.18,42.48,11.7,2.42,8.15,5.22,16.59,13.46,6.35,3.58,12.0,11.35,3.38,2.17,3.48,20.57,31.05,7.14,5.07,9.22,3.42,3.9,3.81
ABLIM1,5.18,29.92,33.44,8.28,10.64,2.93,6.83,82.94,39.09,0.09,7.29,13.12,43.66,35.66,9.84,40.36,61.45,14.93,2.37,14.19,24.85,225.83,44.45,37.16,46.72
ABLIM2,0.04,6.03,3.74,0.08,0.03,0.14,0.02,0.02,0.2,0.18,0.04,0.03,2.89,3.33,1.88,5.3,8.9,0.13,0.08,6.87,1.95,5.55,8.04,5.13,0.29
ABLIM3,15.54,0.48,19.32,33.42,62.51,0.11,0.04,0.07,33.94,0.03,0.02,0.03,0.1,1.61,1.74,1.4,14.85,0.06,27.56,14.15,2.84,4.51,0.89,1.82,0.3
ABR,51.04,68.18,23.51,55.61,98.31,68.13,105.4,31.36,51.23,9.67,36.72,33.0,20.5,36.82,61.46,34.61,41.31,22.06,129.65,51.59,60.07,26.38,101.53,109.8,33.34
ABRA,0.01,0.0,0.04,0.0,0.01,0.03,0.01,0.0,0.0,0.0,0.02,0.01,0.04,0.0,0.11,0.0,0.0,0.05,0.0,0.08,0.02,0.08,0.08,0.01,0.05
ABRACL,56.42,29.1,53.31,77.06,47.44,83.68,111.23,87.39,41.47,151.33,73.24,264.36,58.09,55.81,11.25,157.97,126.65,141.82,92.15,58.98,189.05,86.98,91.16,130.42,79.04
ABT1,17.37,16.17,13.51,17.18,17.04,21.7,34.81,34.1,17.58,29.45,38.91,34.5,42.2,16.01,28.46,20.2,5.85,31.41,16.07,19.95,19.9,17.69,13.03,18.83,10.36
ABTB1,15.76,12.74,26.1,11.76,5.32,12.81,5.57,7.81,10.47,9.71,2.6,6.71,11.04,37.77,2.57,11.7,23.26,7.57,21.69,23.38,5.84,23.27,12.72,17.79,11.22
ABTB2,4.61,6.12,9.84,4.79,7.55,2.46,0.53,0.05,10.02,1.11,0.4,7.72,0.28,4.18,5.86,5.77,9.84,2.31,5.61,12.21,12.84,13.22,5.47,3.04,3.39
AC000003.2,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002310.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002365.1,0.0,0.0,0.11,0.37,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.05,0.0,0.12,0.08,0.0,0.0,0.0,0.0
AC002398.9,3.21,2.65,2.25,4.26,2.3,3.8,3.82,7.21,4.24,3.53,0.65,2.24,3.51,3.29,2.36,0.19,1.91,0.4,4.09,1.85,2.18,2.75,0.71,0.16,3.29
AC002451.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.35,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.02
AC002472.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002472.13,0.0,1.0,0.15,0.04,0.04,0.03,0.0,0.01,0.07,0.03,0.0,0.04,0.0,0.0,0.03,0.08,0.07,0.0,0.0,0.0,0.01,0.04,0.0,0.01,0.01
AC002553.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002985.3,0.07,0.13,0.54,0.07,0.18,0.0,0.0,0.0,0.08,0.06,0.08,0.2,0.0,0.0,0.07,0.0,0.0,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0
AC003002.4,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0
AC003002.6,1.07,0.35,0.31,1.0,0.57,0.59,0.59,0.09,0.39,0.84,0.55,0.07,0.42,3.03,0.0,0.0,1.24,0.45,0.48,0.0,0.45,0.18,0.13,0.0,0.42
AC003005.4,0.24,0.27,0.0,0.11,0.0,0.67,0.0,0.17,1.28,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.2,0.0,0.22,0.0,0.22,0.0,0.06
AC003006.7,0.09,0.32,2.43,0.75,0.89,0.0,0.44,0.28,0.22,0.85,0.0,0.27,0.1,0.0,0.07,0.0,0.0,0.58,0.41,0.0,0.49,0.0,0.0,0.0,0.12
AC003043.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC003101.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
AC003102.1,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02
AC004017.1,0.0,0.5,0.0,0.26,0.0,0.0,0.68,0.29,0.0,1.36,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0
AC004076.7,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0
AC004076.9,0.0,0.19,0.37,0.68,0.17,0.51,0.12,0.11,0.0,2.81,0.01,0.07,0.07,0.0,0.0,0.02,0.0,0.0,0.19,0.08,0.05,1.58,0.05,0.0,0.21
AC004381.6,7.26,8.2,2.92,8.69,7.57,6.2,15.67,11.74,5.22,13.91,9.95,11.55,13.01,12.47,5.64,5.93,3.72,6.23,18.31,5.69,4.48,12.09,5.06,5.11,7.36
AC004466.1,3.74,3.74,4.47,0.71,0.79,0.05,2.66,0.9,0.84,4.47,2.28,1.16,2.07,2.27,1.66,0.05,0.53,3.03,0.18,0.79,1.21,2.32,0.47,0.87,1.58
AC004528.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004817.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004824.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC004899.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005003.1,1.7,1.41,0.84,1.8,0.8,0.68,2.01,0.44,1.19,2.9,2.76,0.93,0.89,3.79,1.08,0.0,0.36,0.8,2.26,1.57,0.42,1.4,0.28,0.58,0.82
AC005008.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005082.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005358.1,0.0,0.0,0.03,0.0,0.0,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
AC005477.1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
AC005481.5,0.09,0.94,0.43,0.08,0.08,0.11,0.01,0.0,0.33,0.04,0.0,6.92,0.01,0.13,1.38,0.0,0.31,0.18,0.17,0.06,0.01,0.12,0.03,0.19,0.03
AC005488.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005493.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005544.1,0.0,0.08,0.23,0.24,0.0,0.0,0.03,0.0,0.42,0.0,0.0,0.0,0.0,0.0,1.52,0.09,0.0,0.0,2.24,2.26,0.09,0.0,0.32,0.0,0.0
AC005549.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC005606.1,0.22,1.82,0.12,0.07,1.55,0.08,0.42,0.06,0.0,0.33,0.0,0.12,0.09,0.0,0.69,0.07,0.0,0.0,0.0,1.7,0.0,0.18,0.0,0.39,0.32
AC005609.1,0.0,0.42,0.0,0.36,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.0,0.0,0.0,0.0,0.01,1.06
AC005779.2,0.0,0.0,0.0,0.06,0.0,0.1,0.05,0.06,0.0,0.1,0.0,0.0,0.08,0.42,0.06,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.22,0.0,0.0
AC005841.1,0.29,0.11,0.66,0.25,0.47,0.55,0.64,0.58,0.15,1.03,0.38,0.51,0.91,1.2,1.0,0.0,0.23,0.55,0.0,0.22,0.61,0.29,0.56,0.45,1.62
AC006014.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006116.20,0.23,0.18,2.27,0.36,0.25,0.27,0.46,0.33,0.0,7.68,0.0,0.0,0.33,0.25,0.21,0.0,0.0,0.27,0.12,0.08,0.14,0.0,0.0,0.17,0.25
AC006126.3,0.0,0.0,0.14,0.18,0.0,0.0,0.05,0.0,0.0,0.11,0.0,0.0,0.0,1.44,0.06,0.0,0.0,0.07,0.0,0.11,0.13,0.0,0.0,0.0,0.0
AC006132.1,2.38,1.67,8.57,0.03,0.0,9.46,1.62,3.78,0.25,15.41,5.86,0.0,0.26,1.59,0.4,0.37,0.83,2.09,0.73,3.34,0.5,0.49,1.29,1.1,0.4
AC006156.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006372.1,0.0,0.06,0.04,0.09,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.24,0.0,0.0,0.1,0.0,0.1,0.02,0.0,0.0,0.04,0.0,0.0,0.0,0.0
AC006435.1,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0
AC006449.1,11.76,21.19,13.08,11.49,22.74,40.45,27.32,41.72,14.97,12.3,37.38,24.91,40.56,22.35,42.38,30.37,46.33,11.1,21.07,49.79,19.17,10.01,76.92,57.74,21.5
AC006455.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC006486.1,0.29,0.38,0.18,0.39,0.8,0.3,0.42,0.33,0.53,0.57,0.5,0.13,0.32,0.09,0.16,0.02,0.24,0.37,0.34,0.27,0.15,0.19,0.29,0.74,0.28
AC006486.9,0.0,0.0,0.0,2.85,0.48,0.0,0.46,0.4,0.46,0.0,0.17,0.0,0.17,2.3,0.0,0.0,0.0,0.0,1.34,0.0,0.0,2.33,0.0,0.0,0.13
AC006538.4,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.0
AC006547.14,2.19,3.84,0.52,0.99,3.5,0.12,0.08,0.02,1.86,1.68,0.0,0.12,0.02,0.0,0.99,0.92,1.12,0.0,2.83,0.58,0.0,0.64,0.75,0.12,0.05
AC006946.15,0.0,0.02,0.0,0.0,0.0,0.03,0.05,0.0,0.0,0.0,0.07,0.03,0.02,0.0,0.05,0.0,0.0,0.21,0.0,0.03,0.04,0.0,0.0,0.0,0.21
AC006967.1,0.0,0.02,0.0,0.0,0.0,0.35,0.0,0.0,0.0,1.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.19,0.0,0.0
AC007040.11,0.08,0.18,0.11,0.54,0.37,0.0,0.11,0.04,0.09,0.06,0.06,0.01,0.13,0.86,0.17,0.01,0.0,2.03,0.99,0.0,0.01,0.04,0.01,0.03,0.01
AC007204.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
